Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,79.03554279,79.20071662,78.45743787,78.87036896,78.87036896,22483800
2018-01-03,78.97129015,79.38422813,78.88870675,79.23740387,79.23740387,26061400
2018-01-04,79.45765013,80.43952184,79.43930059,79.93482208,79.93482208,21912000
2018-01-05,80.43952195,81.12774508,80.22846378,80.92586517,80.92586517,23407100
2018-01-08,80.93504122,81.28374543,80.38446409,81.00845337,81.00845337,22113000
2018-01-09,81.34796589,81.42137803,80.62303678,80.95338440,80.95338440,19484300
2018-01-10,80.62303267,80.92585247,80.21010166,80.58632660,80.58632660,18652200
2018-01-11,80.87079036,80.87079036,80.05409960,80.82491302,80.82491302,17808900
2018-01-12,81.36630690,82.38487747,81.16442704,82.21970367,82.21970367,24271500
2018-01-16,82.67851591,83.31168326,80.76067131,81.07266235,81.07266235,36599700
2018-01-17,81.74254652,82.84370059,81.43972670,82.71523285,82.71523285,25621200
2018-01-18,82.40324281,83.20157707,82.27477507,82.67852783,82.67852783,24159700
2018-01-19,82.71522921,83.14651675,82.27477040,82.58676147,82.58676147,36875000
2018-01-22,82.58675449,84.07331859,82.34816857,84.06414032,84.06414032,23601600
2018-01-23,84.33028412,84.69733789,83.99993642,84.33028412,84.33028412,23412800
2018-01-24,84.92671700,85.73422943,84.03661418,84.25684357,84.25684357,33277500
2018-01-25,84.85329070,85.55986309,84.35776941,84.72482300,84.72482300,26383200
2018-01-26,85.44976415,86.31233215,84.95424278,86.31233215,86.31233215,29172200
2018-01-29,87.30337891,87.58784217,86.00034508,86.18386841,86.18386841,31569900
2018-01-30,85.61494453,85.94529213,84.51378352,85.10106659,85.10106659,38635100
2018-01-31,86.02788061,87.54197271,85.80765120,87.18409729,87.18409729,48756300
2018-02-01,86.98221565,88.15678184,85.87188334,86.49587250,86.49587250,47227900
2018-02-02,85.92693987,86.22975969,83.96321070,84.22014618,84.22014618,47867800
2018-02-05,83.10064323,85.55989406,80.75151062,80.75151062,80.75151062,51031500
2018-02-06,79.73293757,83.94486648,78.22802366,83.80722046,83.80722046,67998600
2018-02-07,83.03640198,84.21096818,81.85265751,82.22888947,82.22888947,41107600
2018-02-08,82.32064315,82.47663868,77.77837432,78.00778198,78.00778198,55628700
2018-02-09,79.19152864,81.60489475,76.92497979,80.91667175,80.91667175,63499100
2018-02-12,81.43055381,82.38489067,80.68727512,81.78842926,81.78842926,35720300
2018-02-13,81.60489426,82.58675878,80.56797414,82.43076324,82.43076324,26407700
2018-02-14,81.60103557,83.88744632,81.50884284,83.72149658,83.72149658,34960900
2018-02-15,84.09026675,85.48240010,83.54632474,85.42708588,85.42708588,27823900
2018-02-16,85.23345131,86.20149227,84.63419522,84.81858063,84.81858063,30596900
2018-02-20,84.33919374,85.79585565,83.90588020,85.48239899,85.48239899,30911700
2018-02-21,85.72209372,86.07242883,84.34839630,84.34839630,84.34839630,26922500
2018-02-22,84.86469254,85.49161286,84.22855085,84.56967163,84.56967163,24392800
2018-02-23,86.29370417,86.72701771,85.15049893,86.71779633,86.71779633,26329200
2018-02-26,87.03126446,87.99929866,86.89297185,87.97164154,87.97164154,30199800
2018-02-27,88.26666091,88.35885364,86.84687042,86.84687042,86.84687042,25869100
2018-02-28,87.43688558,88.23897682,86.32133775,86.45040894,86.45040894,31167300
2018-03-01,86.65323851,87.18796601,84.67106381,85.60222626,85.60222626,37135600
2018-03-02,84.43138909,85.87883671,83.76759021,85.78664398,85.78664398,32830400
2018-03-05,85.13205518,86.91140214,85.05830522,86.33058167,86.33058167,23901600
2018-03-06,86.97594534,87.11423795,85.68523305,86.03556824,86.03556824,22175800
2018-03-07,85.88806061,86.60717375,85.21504032,86.53341675,86.53341675,26716100
2018-03-08,86.91142305,87.67663620,86.45045230,87.05893707,87.05893707,25887800
2018-03-09,87.85177730,89.00420380,87.58441351,89.00420380,89.00420380,36937300
2018-03-12,88.96732653,89.62190394,88.54323442,89.21624756,89.21624756,26073700
2018-03-13,89.42830616,89.64957010,86.63482514,87.04048157,87.04048157,35387800
2018-03-14,87.69503905,87.96240281,86.20149195,86.52416992,86.52416992,32132000
2018-03-15,86.22915178,87.19719277,85.58379581,86.82841492,86.82841492,27611000
2018-03-16,87.28940946,87.93476561,86.58873205,87.21565247,87.21565247,49081300
2018-03-19,86.42278606,86.57030006,84.92002409,85.63913727,85.63913727,33344100
2018-03-20,85.78663213,86.45042389,85.74053226,85.86038208,85.86038208,23075200
2018-03-21,85.67597904,86.70855551,85.01218038,85.26110840,85.26110840,24457100
2018-03-22,84.14557414,84.58810903,82.66125521,82.78110504,82.78110504,38604700
2018-03-23,82.51375107,83.39881392,80.28265468,80.37484741,80.37484741,44068900
2018-03-26,83.53709610,86.66247633,83.34348928,86.45964813,86.45964813,56396800
2018-03-27,87.52909560,87.71348102,81.60101369,82.48607635,82.48607635,56569000
2018-03-28,82.80875033,84.10869067,81.93290909,82.41231537,82.41231537,52501100
2018-03-29,83.14066387,85.08596051,81.49960954,84.14557648,84.14557648,45867500
2018-04-02,83.40802680,83.78601905,80.67908151,81.61023712,81.61023712,48515400
2018-04-03,82.58748661,83.02080006,81.02940388,82.70733643,82.70733643,37213800
2018-04-04,80.99252629,85.51926059,80.88189786,85.12282562,85.12282562,35560000
2018-04-05,85.22423604,85.80505639,84.26541647,85.16891479,85.16891479,29771900
2018-04-06,84.34840083,85.24268494,82.49530403,83.18675995,83.18675995,38026000
2018-04-09,83.93355950,85.89729247,83.54634574,83.68463135,83.68463135,31533900
2018-04-10,85.17815643,85.99868363,84.48670045,85.62990570,85.62990570,26812000
2018-04-11,84.82782202,86.00790578,84.33919425,84.68952942,84.68952942,24872100
2018-04-12,85.21501958,86.80998084,85.21501958,86.27525330,86.27525330,26758900
2018-04-13,86.70859246,86.82844231,85.22426623,85.81430817,85.81430817,23346100
2018-04-16,86.72702114,87.27097019,86.12775787,86.81921387,86.81921387,20288100
2018-04-17,87.58442306,89.00421350,87.47378757,88.57089996,88.57089996,26771000
